@relation training_largemaps.arff

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosthx numeric
@attribute Gosthy numeric
@attribute DirToGhost1{North,South,East,West,Stop}
@attribute DirToGhost2{North,South,East,West,Stop}
@attribute DirToGhost3{North,South,East,West,Stop}
@attribute DirToGhost4{North,South,East,West,Stop}
@attribute Move{North,South,East,West,Stop}
@data
18,11,1,1,1,1,22,13,Stop,Stop,Stop,East,East
19,11,1,1,1,1,22,14,Stop,Stop,Stop,North,North
20,11,1,1,0,1,22,15,Stop,Stop,Stop,North,North
20,12,1,1,0,1,22,14,Stop,Stop,Stop,North,North
20,13,1,1,0,1,22,14,Stop,Stop,Stop,North,North
20,14,1,1,0,1,22,14,Stop,Stop,Stop,East,East
20,15,1,1,1,0,23,14,Stop,Stop,Stop,East,East
21,15,1,0,1,1,23,15,Stop,Stop,Stop,East,East
1,18,0,1,1,0,5,8,South,South,South,South,South
1,17,1,1,0,0,6,8,South,South,South,South,South
1,16,1,1,1,0,5,8,South,South,South,South,South
1,15,1,1,1,0,5,8,South,South,South,South,South
1,14,1,1,1,0,6,8,South,South,South,South,South
1,13,1,1,0,0,5,8,South,South,South,South,South
1,12,1,1,1,0,5,9,South,South,South,South,South
1,11,1,1,0,0,6,9,South,South,South,South,South
1,10,1,1,0,0,6,9,South,South,South,South,South
1,9,1,1,0,0,6,10,South,South,South,South,South
1,8,1,1,0,0,5,10,South,South,South,South,South
1,7,1,1,0,0,6,10,East,East,East,East,East
1,6,1,1,1,0,6,9,East,East,East,East,East
2,6,0,1,1,1,6,8,East,East,East,East,East
3,6,1,1,1,1,6,8,East,East,East,East,East
4,6,1,1,1,1,6,8,East,East,East,East,East
5,6,1,1,1,1,6,7,North,North,North,North,North
6,6,1,0,1,1,10,3,Stop,North,North,North,North
6,7,1,1,0,1,10,3,Stop,North,North,North,North
6,8,1,1,0,1,10,3,Stop,North,North,North,North
6,9,1,1,0,1,11,3,Stop,West,West,West,West
6,10,0,1,0,1,11,3,Stop,South,South,South,South
5,10,0,1,1,1,10,3,Stop,East,East,East,East
5,9,1,1,1,1,11,3,Stop,South,South,South,South
6,9,1,1,0,1,11,3,Stop,South,South,South,South
