@relation alpha_training_tutorial1.arff-weka.filters.unsupervised.attribute.Remove-R23-26

@attribute PacX numeric
@attribute PacY numeric
@attribute LegalNorth {1,0}
@attribute LegalSouth {1,0}
@attribute LegalEast {1,0}
@attribute LegalWest {1,0}
@attribute Gosth1x numeric
@attribute Gosth1y numeric
@attribute Gosth2x numeric
@attribute Gosth2y numeric
@attribute Gosth3x numeric
@attribute Gosth3y numeric
@attribute Gosth4x numeric
@attribute Gosth4y numeric
@attribute DistGosth1 numeric
@attribute DistGosth2 numeric
@attribute DistGosth3 numeric
@attribute DistGosth4 numeric
@attribute GhostDir1 {North,South,East,West,Stop}
@attribute GhostDir2 {North,South,East,West,Stop}
@attribute GhostDir3 {North,South,East,West,Stop}
@attribute GhostDir4 {North,South,East,West,Stop}
@attribute Direction {North,South,East,West,Stop}

@data
13,10,1,1,1,1,5,7,5,12,14,6,13,12,11,10,5,3,East,North,South,North,North
13,11,1,1,1,1,6,7,5,13,14,5,13,13,11,10,7,3,North,South,North,North,North
13,12,1,1,1,1,6,8,5,12,14,6,13,14,11,8,7,2,South,West,West,Stop,West
13,13,1,1,1,1,6,7,4,12,13,6,13,14,13,10,7,-1,West,East,North,Stop,West
12,13,1,1,1,1,5,7,5,12,13,7,7,1,13,8,7,-1,West,South,North,Stop,West
11,13,1,1,1,1,4,7,5,11,13,7,7,1,13,8,8,-1,West,North,South,Stop,West
10,13,1,1,1,1,4,7,5,12,13,6,7,1,12,6,10,-1,South,North,North,Stop,West
9,13,1,1,1,1,4,6,5,13,13,7,7,1,12,4,10,-1,West,West,South,Stop,West
8,13,1,1,1,1,3,6,4,13,13,6,7,1,12,4,12,-1,East,South,North,Stop,West
7,13,1,1,1,1,4,6,4,12,13,7,7,1,10,4,12,-1,East,South,East,Stop,West
6,13,1,1,1,1,5,6,4,11,14,7,7,1,8,4,14,-1,East,West,South,Stop,West
5,13,1,1,1,1,5,6,3,11,14,6,7,1,7,4,16,-1,West,West,East,Stop,West
4,13,1,1,1,1,4,6,2,11,15,6,7,1,7,4,18,-1,North,North,West,Stop,West
3,13,1,1,1,1,4,7,2,12,14,6,7,1,7,2,18,-1,North,West,North,Stop,West
2,13,1,1,1,1,4,8,1,12,14,7,7,1,7,2,18,-1,West,Stop,South,Stop,South
1,13,1,1,1,0,3,8,1,12,14,6,7,1,7,1,20,-1,North,Stop,South,Stop,East
1,12,1,1,1,0,3,9,3,1,14,6,7,1,5,-1,19,-1,West,Stop,West,Stop,South
2,12,1,1,1,1,2,9,3,1,13,6,7,1,3,-1,17,-1,West,Stop,North,Stop,West
2,11,1,0,1,1,1,9,3,1,13,7,7,1,3,-1,15,-1,West,Stop,North,Stop,East
1,11,1,0,1,0,1,9,3,1,13,7,7,1,2,-1,16,-1,East,Stop,North,Stop,East
2,11,1,0,1,1,2,9,3,1,13,8,7,1,2,-1,14,-1,West,Stop,East,Stop,East
3,11,1,0,1,1,1,9,3,1,14,8,7,1,4,-1,14,-1,West,Stop,East,Stop,East
4,11,1,0,1,1,1,9,3,1,15,8,7,1,5,-1,14,-1,East,Stop,South,Stop,East
5,11,1,0,1,1,2,9,3,1,15,7,7,1,5,-1,14,-1,West,Stop,South,Stop,South
6,11,1,1,1,1,1,9,3,1,15,6,7,1,7,-1,14,-1,West,Stop,North,Stop,South
6,10,1,1,1,0,1,9,3,1,15,7,7,1,6,-1,12,-1,East,Stop,South,Stop,West
6,9,1,1,1,1,2,9,3,1,15,6,7,1,4,-1,12,-1,South,Stop,South,Stop,West
5,9,0,1,1,1,2,8,3,1,15,5,7,1,4,-1,14,-1,North,Stop,West,Stop,West
4,9,0,1,1,1,2,9,3,1,14,5,7,1,2,-1,14,-1,Stop,Stop,North,Stop,East
3,9,0,1,1,1,1,1,3,1,14,6,7,1,-1,-1,14,-1,Stop,Stop,South,Stop,East
4,9,0,1,1,1,1,1,3,1,14,5,7,1,-1,-1,14,-1,Stop,Stop,South,Stop,East
5,9,0,1,1,1,1,1,3,1,14,5,7,1,-1,-1,13,-1,Stop,Stop,North,Stop,East
6,9,1,1,1,1,1,1,3,1,14,6,7,1,-1,-1,11,-1,Stop,Stop,North,Stop,East
7,9,1,1,1,1,1,1,3,1,14,6,7,1,-1,-1,10,-1,Stop,Stop,West,Stop,East
8,9,1,1,1,1,1,1,3,1,13,6,7,1,-1,-1,8,-1,Stop,Stop,West,Stop,East
9,9,1,1,1,1,1,1,3,1,12,6,7,1,-1,-1,6,-1,Stop,Stop,South,Stop,East
10,9,1,1,1,1,1,1,3,1,12,5,7,1,-1,-1,6,-1,Stop,Stop,West,Stop,South
11,9,1,1,1,1,1,1,3,1,11,5,7,1,-1,-1,4,-1,Stop,Stop,North,Stop,South
11,8,1,1,1,1,1,1,3,1,11,6,7,1,-1,-1,2,-1,Stop,Stop,East,Stop,East
11,7,1,1,1,1,1,1,3,1,12,6,7,1,-1,-1,2,-1,Stop,Stop,West,Stop,West
12,10,1,1,1,1,5,6,5,12,13,6,13,12,11,9,5,3,Stop,Stop,Stop,Stop,South
13,10,1,1,1,1,5,6,5,12,13,6,13,12,12,10,4,2,Stop,Stop,Stop,Stop,South
13,9,1,1,1,1,5,6,5,12,13,6,13,12,11,11,3,3,Stop,Stop,Stop,Stop,South
13,8,1,1,1,1,5,6,5,12,13,6,13,12,10,12,2,4,Stop,Stop,Stop,Stop,South
13,7,1,1,1,1,5,6,5,12,13,6,13,12,9,13,1,5,Stop,Stop,Stop,Stop,West
13,6,1,1,1,1,5,6,5,12,5,1,13,12,8,14,-1,6,Stop,Stop,Stop,Stop,West
12,6,1,1,1,1,5,6,5,12,5,1,13,12,7,13,-1,7,Stop,Stop,Stop,Stop,West
11,6,1,1,1,1,5,6,5,12,5,1,13,12,6,12,-1,8,Stop,Stop,Stop,Stop,West
10,6,1,1,1,1,5,6,5,12,5,1,13,12,5,11,-1,9,Stop,Stop,Stop,Stop,West
9,6,1,1,1,1,5,6,5,12,5,1,13,12,4,10,-1,10,Stop,Stop,Stop,Stop,West
8,6,1,1,1,1,5,6,5,12,5,1,13,12,3,9,-1,11,Stop,Stop,Stop,Stop,West
7,6,1,1,1,1,5,6,5,12,5,1,13,12,2,8,-1,12,Stop,Stop,Stop,Stop,West
6,6,1,1,1,1,5,6,5,12,5,1,13,12,1,7,-1,13,Stop,Stop,Stop,Stop,North
5,6,1,1,1,1,1,1,5,12,5,1,13,12,-1,6,-1,14,Stop,Stop,Stop,Stop,North
5,7,1,1,1,1,1,1,5,12,5,1,13,12,-1,5,-1,13,Stop,Stop,Stop,Stop,North
5,8,1,1,1,1,1,1,5,12,5,1,13,12,-1,4,-1,12,Stop,Stop,Stop,Stop,East
5,9,0,1,1,1,1,1,5,12,5,1,13,12,-1,3,-1,11,Stop,Stop,Stop,Stop,North
6,9,1,1,1,1,1,1,5,12,5,1,13,12,-1,4,-1,10,Stop,Stop,Stop,Stop,North
6,10,1,1,1,0,1,1,5,12,5,1,13,12,-1,3,-1,9,Stop,Stop,Stop,Stop,West
